obs,time,deployment,conductivity,driver_timestamp,ingestion_timestamp,internal_timestamp,port_timestamp,preferred_timestamp,pressure,profiler_timestamp,salinity,suspect_timestamp,temp,density,conductivity_qc_executed,conductivity_qc_results,pressure_qc_executed,pressure_qc_results,salinity_qc_executed,salinity_qc_results,density_qc_executed,density_qc_results,temperature_qc_executed,temperature_qc_results,lat,lon
"('94',)",3771301809,14,3.484030008,3779218459,3779218533,3771301809,0,internal_timestamp,71.80699921,1562313009,33.89569855,0,7.585599899,1026.799123,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('95',)",3771301809,14,3.484019995,3779218459,3779218533,3771301809,0,internal_timestamp,71.81099701,1562313009,33.89559937,0,7.585599899,1026.799063,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('96',)",3771301809,14,3.484019995,3779218459,3779218533,3771301809,0,internal_timestamp,71.81300354,1562313009,33.89559937,1,7.585599899,1026.799072,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('97',)",3771301809,14,3.484030008,3779218459,3779218533,3771301809,0,internal_timestamp,71.81199646,1562313009,33.89569855,0,7.585599899,1026.799146,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('98',)",3771301809,14,3.484040022,3779218459,3779218533,3771301809,0,internal_timestamp,71.81199646,1562313009,33.89590073,0,7.585499763,1026.799319,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('99',)",3771301809,14,3.484050035,3779218459,3779218533,3771301809,0,internal_timestamp,71.81400299,1562313009,33.89599991,0,7.585499763,1026.799406,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('100',)",3771301809,14,3.484050035,3779218459,3779218533,3771301809,0,internal_timestamp,71.81300354,1562313009,33.89599991,0,7.585599899,1026.799387,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('101',)",3771301809,14,3.484040022,3779218459,3779218533,3771301809,0,internal_timestamp,71.80899811,1562313009,33.89590073,0,7.585599899,1026.799291,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('102',)",3771301809,14,3.484030008,3779218459,3779218533,3771301809,0,internal_timestamp,71.81199646,1562313009,33.89569855,0,7.585599899,1026.799146,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('103',)",3771301809,14,3.484030008,3779218459,3779218533,3771301809,0,internal_timestamp,71.81500244,1562313009,33.89569855,0,7.585599899,1026.799159,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('104',)",3771301809,14,3.484030008,3779218459,3779218533,3771301809,0,internal_timestamp,71.80999756,1562313009,33.89569855,0,7.585700035,1026.799122,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('105',)",3771301809,14,3.484040022,3779218459,3779218533,3771301809,0,internal_timestamp,71.80899811,1562313009,33.89580154,0,7.585700035,1026.799198,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('106',)",3771301809,14,3.484040022,3779218459,3779218533,3771301809,0,internal_timestamp,71.80899811,1562313009,33.89580154,0,7.585700035,1026.799198,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('107',)",3771301809,14,3.484030008,3779218459,3779218533,3771301809,0,internal_timestamp,71.80999756,1562313009,33.89569855,0,7.585700035,1026.799122,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('108',)",3771301809,14,3.484030008,3779218459,3779218533,3771301809,0,internal_timestamp,71.81099701,1562313009,33.89569855,0,7.585700035,1026.799127,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('109',)",3771301809,14,3.484030008,3779218459,3779218533,3771301809,0,internal_timestamp,71.80999756,1562313009,33.89559937,0,7.585700035,1026.799044,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('110',)",3771301810,14,3.484019995,3779218459,3779218533,3771301810,0,internal_timestamp,71.81099701,1562313010,33.89559937,0,7.585700035,1026.799049,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('111',)",3771301810,14,3.484030008,3779218459,3779218533,3771301810,0,internal_timestamp,71.80799866,1562313010,33.89559937,0,7.585700035,1026.799035,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('112',)",3771301810,14,3.484030008,3779218459,3779218533,3771301810,0,internal_timestamp,71.80599976,1562313010,33.89569855,0,7.585700035,1026.799104,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('113',)",3771301810,14,3.484030008,3779218459,3779218533,3771301810,0,internal_timestamp,71.80599976,1562313010,33.89559937,0,7.585700035,1026.799026,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('114',)",3771301810,14,3.484030008,3779218459,3779218533,3771301810,0,internal_timestamp,71.80699921,1562313010,33.89559937,0,7.585700035,1026.79903,29,13,29,13,29,29,29,13,29,29,44.63218,-124.30797
"('115',)",3771301810,14,3.484030008,3779218459,3779218533,3771301810,0,internal_timestamp,71.80400085,1562313010,33.89559937,0,7.585700035,1026.799016,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('116',)",3771301810,14,3.484009981,3779218459,3779218533,3771301810,0,internal_timestamp,71.8010025,1562313010,33.895401,0,7.585700035,1026.798847,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
"('117',)",3771301810,14,3.483999968,3779218459,3779218533,3771301810,0,internal_timestamp,71.79599762,1562313010,33.89550018,0,7.585599899,1026.798916,29,13,29,29,29,29,29,13,29,29,44.63218,-124.30797
